input_row_key,input_company_name,candidate_company_name,location_score,name_score
0,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,New Millennium Network,334.18,44.44
0,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,Private Helipad Ali Villa,334.18,24.56
0,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,24seven Research Network,104.33,64.29
0,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,EmerioSoft,231.56,28.57
0,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,Asiatic Public Relations Network,239.65,34.38
104,COMMSCOPE TECHNOLOGIES LLC,Commscope Technologies South Africa Pty Ltd.,66.06,67.8
104,COMMSCOPE TECHNOLOGIES LLC,CommScope,55.86,37.04
104,COMMSCOPE TECHNOLOGIES LLC,Commscope Technologies K Ltdtd,65.8,84.44
104,COMMSCOPE TECHNOLOGIES LLC,CommScope,177.58,37.04
104,COMMSCOPE TECHNOLOGIES LLC,CommScope Technologies Philippines Inc.,80.37,74.07
117,DADES Center Ost ApS,Thomas Møgelberg,322.68,33.33
117,DADES Center Ost ApS,Dades Center,90.63,75.0
117,DADES Center Ost ApS,Voigt Psykoterapi,322.68,32.43
117,DADES Center Ost ApS,Dades,322.68,40.0
117,DADES Center Ost ApS,Dades,92.54,40.0
125,DEKO-STYLE V/ANJA GRONNE,DEKOSTYLE - Schneiker,58.52,57.78
125,DEKO-STYLE V/ANJA GRONNE,Agentur Deko-Style,52.56,50.0
125,DEKO-STYLE V/ANJA GRONNE,Deko Style,325.29,52.94
125,DEKO-STYLE V/ANJA GRONNE,DEKOSTYLE,91.21,54.55
125,DEKO-STYLE V/ANJA GRONNE,DEKO STYLE,57.88,52.94
134,"DELTA EJENDOM, AALBORG A/S",Delta Data,191.55,50.0
134,"DELTA EJENDOM, AALBORG A/S",Delta Porte,202.44,43.24
134,"DELTA EJENDOM, AALBORG A/S",Aalborg Engineering A/S.,281.43,44.0
134,"DELTA EJENDOM, AALBORG A/S",AALBORG CSP,62.57,48.65
134,"DELTA EJENDOM, AALBORG A/S",Aalborg Stilladser,281.43,45.45
139,Nets Denmark A/S,NETS EASY MODULES,143.31,48.48
139,Nets Denmark A/S,John Nurminens Stiftelse,42.41,30.0
139,Nets Denmark A/S,NemID,143.31,28.57
139,Nets Denmark A/S,CashbackAPP,224.12,29.63
139,Nets Denmark A/S,Nets group,318.95,46.15
142,DK HOSTMASTER A/S,DK Accountancy Services,62.36,36.84
142,DK HOSTMASTER A/S,AALBRA øvelokale,326.16,18.18
142,DK HOSTMASTER A/S,The Hostmaster,34.59,70.97
142,DK HOSTMASTER A/S,DK ROOF,202.44,33.33
142,DK HOSTMASTER A/S,ANDERS LASSEN FONDEN,326.16,32.43
145,"DET NORSKE VERITAS, BUSINESS ASSURANCE, DANMARK A/S",Danish Quality Assurance Group,201.57,39.51
145,"DET NORSKE VERITAS, BUSINESS ASSURANCE, DANMARK A/S",Dansk System Assurance,191.55,41.1
145,"DET NORSKE VERITAS, BUSINESS ASSURANCE, DANMARK A/S",DNV,26.37,3.85
145,"DET NORSKE VERITAS, BUSINESS ASSURANCE, DANMARK A/S",Assurance Partner,209.15,35.29
145,"DET NORSKE VERITAS, BUSINESS ASSURANCE, DANMARK A/S",Dansk System Assurance A/S.,191.55,48.72
15,ADECCO A/S,Elektriker Lyngby,322.68,16.0
15,ADECCO A/S,Adecco Hillerød,197.74,47.62
15,ADECCO A/S,Adecco Fredericia,154.46,52.17
15,ADECCO A/S,Crone & Co.,322.68,23.53
15,ADECCO A/S,Thomas Møgelberg,322.68,16.67
158,EDOTCO TOWERS PAKISTAN (PRIVATE) LIMITED,Aquamatch,186.95,20.51
158,EDOTCO TOWERS PAKISTAN (PRIVATE) LIMITED,EDOTCO Towers Inc.,81.61,55.81
158,EDOTCO TOWERS PAKISTAN (PRIVATE) LIMITED,Edotco,106.79,23.53
158,EDOTCO TOWERS PAKISTAN (PRIVATE) LIMITED,Pharma Consultant Pakistan,186.95,40.74
158,EDOTCO TOWERS PAKISTAN (PRIVATE) LIMITED,Private Helipad Ali Villa,187.8,25.45
159,Egencia Denmark A/S,Payment Services,229.97,28.57
159,Egencia Denmark A/S,Egen ci a,96.23,57.14
159,Egencia Denmark A/S,Egencia New Zealand,77.29,47.37
159,Egencia Denmark A/S,Egencia,175.76,53.85
159,Egencia Denmark A/S,Egencia,37.66,53.85
162,Egencia Sweden AB,Egencia,57.85,58.33
162,Egencia Sweden AB,Egencia,53.16,58.33
162,Egencia Sweden AB,Egencia Switzerland,75.5,66.67
162,Egencia Sweden AB,Egencia Canada,81.51,64.52
162,Egencia Sweden AB,Egencia,59.25,58.33
175,ERNST & YOUNG LLP,ERNST & YOUNG CC,95.32,84.85
175,ERNST & YOUNG LLP,ERNST GROUP,75.82,64.29
175,ERNST & YOUNG LLP,Ernst Engineering Pte. Ltd.,175.53,48.78
175,ERNST & YOUNG LLP,Ernst Technologies,75.82,45.71
175,ERNST & YOUNG LLP,Denkstatt,95.61,30.77
181,EWORK NORDIC ApS,Nordic Medical Equipment & Services,316.81,39.22
181,EWORK NORDIC ApS,Nordic Medical Solutions Scandinavia,316.81,34.62
181,EWORK NORDIC ApS,Nordic Sustainable Finance,316.81,38.1
181,EWORK NORDIC ApS,NORDIC MEDICAL SOLUTIONS,316.81,45.0
181,EWORK NORDIC ApS,BioSite,316.81,8.7
182,EWORK GROUP NORWAY AS,Universal Music,330.55,29.41
182,EWORK GROUP NORWAY AS,Up2Staff,37.24,20.69
182,EWORK GROUP NORWAY AS,Ework Group,66.93,68.75
182,EWORK GROUP NORWAY AS,E-workgroup,95.56,62.5
182,EWORK GROUP NORWAY AS,E work,92.15,37.04
183,EXFO Ltd.,EXFO Finland Oy.,319.21,54.55
183,EXFO Ltd.,EXFO,62.13,80.0
183,EXFO Ltd.,EXFO,68.26,80.0
183,EXFO Ltd.,Exfo,89.37,80.0
183,EXFO Ltd.,ProTech,58.64,15.38
190,Fastbridge Malaysia Sdn Bhd,FastBridge - Illuminate Education,89.5,53.33
190,Fastbridge Malaysia Sdn Bhd,Siab M Sdn Bhd.,332.91,52.38
190,Fastbridge Malaysia Sdn Bhd,Fastbridge,84.06,54.05
190,Fastbridge Malaysia Sdn Bhd,Fast Bridge,100.0,52.63
190,Fastbridge Malaysia Sdn Bhd,Mall of Malaysia,332.91,46.51
191,Favro Holding AB,Favro,326.31,47.62
191,Favro Holding AB,SCIBASE,168.93,8.7
191,Favro Holding AB,SE & SYNAS,326.31,7.69
191,Favro Holding AB,Organic Beauty,165.59,20.0
191,Favro Holding AB,Beautyculture by Janine,326.31,25.64
193,Fibrecomm Network (M) Sdn. Bhd.,FIBRECOMM,331.14,38.89
193,Fibrecomm Network (M) Sdn. Bhd.,Trapper Group,131.69,19.05
193,Fibrecomm Network (M) Sdn. Bhd.,Network Foods,132.7,42.86
193,Fibrecomm Network (M) Sdn. Bhd.,FibreComm,85.0,38.89
193,Fibrecomm Network (M) Sdn. Bhd.,Fibrecomm Office KK.,107.65,46.81
196,SYKES ENTERPRISES NORWAY AS,Sykes Machine Services,97.13,48.98
196,SYKES ENTERPRISES NORWAY AS,Dalen legesenter,329.14,32.56
196,SYKES ENTERPRISES NORWAY AS,Sykes Racing,95.81,35.9
196,SYKES ENTERPRISES NORWAY AS,Sykes Enterprises Inc.,101.2,78.26
196,SYKES ENTERPRISES NORWAY AS,Sykes Chemist,105.95,45.0
201,GEO ENTERTAINMENT TELEVISION (PVT.) LIMITED,HarPal Geo,187.8,14.29
201,GEO ENTERTAINMENT TELEVISION (PVT.) LIMITED,Geo Mobile & Easypaisa Shop,188.91,38.6
201,GEO ENTERTAINMENT TELEVISION (PVT.) LIMITED,Geo Shoes and Sneakers,184.61,33.33
201,GEO ENTERTAINMENT TELEVISION (PVT.) LIMITED,E! Online,96.13,29.27
201,GEO ENTERTAINMENT TELEVISION (PVT.) LIMITED,Geo TV Network,179.37,30.43
208,Google Cloud EMEA Limited,ISP Cloud Services Inc.,121.58,48.65
208,Google Cloud EMEA Limited,Bon Plan Sur Mesure,104.3,38.89
208,Google Cloud EMEA Limited,DoubleClick,99.48,35.71
208,Google Cloud EMEA Limited,Google Cloud,106.92,82.76
208,Google Cloud EMEA Limited,Mekas Cloud Services,107.64,54.05
221,"HELP FORSIKRING,FILIAL AF HELP FORSIKRING AS, NORGE",Help it Home,316.81,28.57
221,"HELP FORSIKRING,FILIAL AF HELP FORSIKRING AS, NORGE",HELP Forsikring,316.81,45.45
221,"HELP FORSIKRING,FILIAL AF HELP FORSIKRING AS, NORGE",Help PR,316.81,20.69
221,"HELP FORSIKRING,FILIAL AF HELP FORSIKRING AS, NORGE",Nordjylland Forsikring,230.44,32.88
221,"HELP FORSIKRING,FILIAL AF HELP FORSIKRING AS, NORGE",HELP Forsikring,42.85,45.45
228,HEWLETT-PACKARD NORGE AS,ThinkEV,330.87,12.9
228,HEWLETT-PACKARD NORGE AS,Tiny Elephant,139.2,21.62
228,HEWLETT-PACKARD NORGE AS,FornebuGolf,330.87,17.14
228,HEWLETT-PACKARD NORGE AS,Elbilforum,330.87,23.53
228,HEWLETT-PACKARD NORGE AS,Linestore,330.87,30.3
23,Agg Power Technology (Fuzhou) Co Ltd.,AGG power,60.55,37.84
23,Agg Power Technology (Fuzhou) Co Ltd.,AGG power,69.77,37.84
23,Agg Power Technology (Fuzhou) Co Ltd.,AGG,66.27,6.45
23,Agg Power Technology (Fuzhou) Co Ltd.,Bragg Race,94.29,15.79
23,Agg Power Technology (Fuzhou) Co Ltd.,AGG Power,328.77,37.84
238,HP PPS SINGAPORE (SALES) PTE. LTD.,HP Alumni Singapore,254.31,54.17
238,HP PPS SINGAPORE (SALES) PTE. LTD.,Menicon Singapore,254.31,45.45
238,HP PPS SINGAPORE (SALES) PTE. LTD.,Crayon Data,92.93,15.0
238,HP PPS SINGAPORE (SALES) PTE. LTD.,Poyoko Trading,254.31,23.26
238,HP PPS SINGAPORE (SALES) PTE. LTD.,GG Playfest,254.31,30.0
240,Huawei Technologies (Bangladesh) Limited.,Shahidul Islam Sarker,186.31,26.42
240,Huawei Technologies (Bangladesh) Limited.,HUAWEI,113.88,30.0
240,Huawei Technologies (Bangladesh) Limited.,Ubi services,142.76,30.43
240,Huawei Technologies (Bangladesh) Limited.,Bumblebee Tech,186.31,29.17
240,Huawei Technologies (Bangladesh) Limited.,Bohubrihi,186.31,23.26
249,HUBER+SUHNER ELECTRONICS PRIVATE LIMITED,HUBER SUHNER,57.08,50.0
249,HUBER+SUHNER ELECTRONICS PRIVATE LIMITED,HUBER SUHNER Sales Partners,74.27,70.18
249,HUBER+SUHNER ELECTRONICS PRIVATE LIMITED,HUBER SUHNER,97.5,50.0
249,HUBER+SUHNER ELECTRONICS PRIVATE LIMITED,HUBER SUHNER Polatis Limited sp.z o.o.,68.88,57.14
249,HUBER+SUHNER ELECTRONICS PRIVATE LIMITED,Huber Suhner AG,72.59,50.0
25,AIG EUROPE S.A. NUF,AIG Norge,330.55,40.0
25,AIG EUROPE S.A. NUF,BårdarTV,330.55,16.67
25,AIG EUROPE S.A. NUF,AIG PEP V Asia LP.,149.91,47.06
25,AIG EUROPE S.A. NUF,Bertel O. Steen Kapital,330.55,25.64
25,AIG EUROPE S.A. NUF,AIG bygg AS,154.27,37.04
253,IBM DANMARK A/S,IBM CIC.,188.58,34.78
253,IBM DANMARK A/S,SJEC,179.11,10.53
253,IBM DANMARK A/S,Klubben,188.58,18.18
253,IBM DANMARK A/S,Nippon Gases Germany,79.86,22.86
253,IBM DANMARK A/S,Mercedes-Benz,188.58,14.29
255,OBERTHUR TECHNOLOGIES NORWAY AS,Oberthur Technologies,86.75,80.77
255,OBERTHUR TECHNOLOGIES NORWAY AS,Oberthur Technologies,95.04,80.77
255,OBERTHUR TECHNOLOGIES NORWAY AS,Bereej Technologies,85.22,64.0
255,OBERTHUR TECHNOLOGIES NORWAY AS,Oberthur Technologies,81.38,80.77
255,OBERTHUR TECHNOLOGIES NORWAY AS,Oberthur,83.93,41.03
256,"IKANO BANK, FILIAL AF IKANO BANK AB (PUBL), SVERIGE",Ikano,63.35,17.86
256,"IKANO BANK, FILIAL AF IKANO BANK AB (PUBL), SVERIGE",Ikano Bolig,318.95,32.26
256,"IKANO BANK, FILIAL AF IKANO BANK AB (PUBL), SVERIGE",Ikano Bank,318.95,32.79
256,"IKANO BANK, FILIAL AF IKANO BANK AB (PUBL), SVERIGE",Ikano Bank,318.95,32.79
256,"IKANO BANK, FILIAL AF IKANO BANK AB (PUBL), SVERIGE",Ikano Bank Leasing,318.95,43.48
257,Imi Mobile Vas Limited,TEXTLOCAL,102.72,17.39
257,Imi Mobile Vas Limited,VAS Global,103.6,25.0
257,Imi Mobile Vas Limited,Bangla Trac Miaki Vas Limited,186.31,40.0
257,Imi Mobile Vas Limited,IMImobile PLC.,103.6,80.0
257,Imi Mobile Vas Limited,IMI Mobile VAS Ltd FZE,103.6,84.85
268,Intrum Debt Finance AG,Intrum,198.29,48.0
268,Intrum Debt Finance AG,Abc Kids Store,189.23,24.24
268,Intrum Debt Finance AG,FINANCE SKY,224.29,46.67
268,Intrum Debt Finance AG,INTRUM,122.67,48.0
268,Intrum Debt Finance AG,Intrum,203.17,48.0
269,ADVIS A/S,Advis and Co.,66.85,70.0
269,ADVIS A/S,ADVIS s.r.o.,92.5,66.67
269,ADVIS A/S,Advis,93.04,71.43
269,ADVIS A/S,Advisas GmbH,75.83,71.43
269,ADVIS A/S,ADVIS,87.06,71.43
275,ISS GLOBAL A/S,ISS Global Forwarding Taşımacılık A.Ş,41.27,47.06
275,ISS GLOBAL A/S,ISS,192.54,35.29
275,ISS GLOBAL A/S,Iss Global Forwarding Asia Holding,72.2,54.17
275,ISS GLOBAL A/S,ISS GLOBAL,63.84,83.33
275,ISS GLOBAL A/S,White Signature,74.9,27.59
28,ALTAIR GLOBAL RELOCATION SINGAPORE PTE. LTD.,Marubeni-Itochu Tubulars Asia,334.71,25.71
28,ALTAIR GLOBAL RELOCATION SINGAPORE PTE. LTD.,Altair Global Relocation,110.53,73.85
28,ALTAIR GLOBAL RELOCATION SINGAPORE PTE. LTD.,Altair Aesthetic,334.71,38.6
28,ALTAIR GLOBAL RELOCATION SINGAPORE PTE. LTD.,Ecogradia,334.71,8.33
28,ALTAIR GLOBAL RELOCATION SINGAPORE PTE. LTD.,Altair Global B.V.,71.44,53.57
282,JOBSTREET.COM PTE LTD,JobStreet,99.07,75.0
282,JOBSTREET.COM PTE LTD,TeamTec,98.27,18.18
282,JOBSTREET.COM PTE LTD,Jobstreet,89.84,75.0
282,JOBSTREET.COM PTE LTD,International Tax Management,334.71,9.76
282,JOBSTREET.COM PTE LTD,JobStreet,100.3,75.0
285,Kahoot! Denmark ApS,Kahoot,42.85,48.0
285,Kahoot! Denmark ApS,Kahoot Winner,80.67,56.25
285,Kahoot! Denmark ApS,NicOnline,97.65,7.69
285,Kahoot! Denmark ApS,Kahoot,97.65,48.0
285,Kahoot! Denmark ApS,Kahoot,97.65,48.0
286,KAMTOWER DANMARK A/S,Loyal Solutions,316.81,28.57
286,KAMTOWER DANMARK A/S,CyberJuice,316.81,13.33
286,KAMTOWER DANMARK A/S,Sun Creature,316.81,18.75
286,KAMTOWER DANMARK A/S,KAMTOWER,45.66,57.14
286,KAMTOWER DANMARK A/S,Jensen & Lund,316.81,18.18
291,KINLY HOLDING AS,Kinly,93.37,47.62
291,KINLY HOLDING AS,Kinly,113.77,47.62
291,KINLY HOLDING AS,Kinly,99.58,47.62
291,KINLY HOLDING AS,Kinly AS avd Trondheim,156.01,42.11
291,KINLY HOLDING AS,Kinly Cart,69.45,53.85
296,KODA,NCB,316.81,0.0
296,KODA,Koda Talent,90.87,53.33
296,KODA,AUTOR,316.81,22.22
296,KODA,Dansk Komponistforening,316.81,14.81
296,KODA,DPA - Professionelle Sangskrivere & Producere,316.81,12.77
298,KOMMANDITAKTIESELSKABET FREDERIKSSUND SHOPPINGCENTER,Frederikssund Forsynings Personaleforening,155.73,42.55
298,KOMMANDITAKTIESELSKABET FREDERIKSSUND SHOPPINGCENTER,Frederikssund ANTI-RUST,155.73,45.33
298,KOMMANDITAKTIESELSKABET FREDERIKSSUND SHOPPINGCENTER,Frederikssund Traktor- og Maskinservice,155.73,41.76
298,KOMMANDITAKTIESELSKABET FREDERIKSSUND SHOPPINGCENTER,Frederikssund Fodboldgolf,155.73,41.56
298,KOMMANDITAKTIESELSKABET FREDERIKSSUND SHOPPINGCENTER,Frederikssund St.,155.73,46.38
3,3 STEP IT AS,NIFU,330.55,12.5
3,3 STEP IT AS,3Step IT Oy.,65.28,75.0
3,3 STEP IT AS,3stepIT,66.93,73.68
3,3 STEP IT AS,3 Step IT A/S.,67.16,92.31
3,3 STEP IT AS,3Step IT Group,65.28,69.23
300,Kpmg AS Hovedkontor,KPMG - Ulsteinvik,156.74,47.06
300,Kpmg AS Hovedkontor,Kpmg AS,146.99,53.85
300,Kpmg AS Hovedkontor,KPMG - Hamar,169.09,51.61
300,Kpmg AS Hovedkontor,KPMG - Knarvik,155.0,48.48
300,Kpmg AS Hovedkontor,KPMG - Mo i Rana,171.74,40.0
303,LOXYSOFT AS,LEADDESK,65.28,21.05
303,LOXYSOFT AS,Bording Cognito AS,330.55,37.04
303,LOXYSOFT AS,LINJEDATA,330.55,30.0
303,LOXYSOFT AS,Oslo kommune,330.55,26.09
303,LOXYSOFT AS,Loxysoft,49.29,84.21
307,LINKEDIN IRELAND UNLIMITED COMPANY,Telugukavithalugalgala,116.92,21.28
307,LINKEDIN IRELAND UNLIMITED COMPANY,Locateai,98.49,12.12
307,LINKEDIN IRELAND UNLIMITED COMPANY,LinkedIn Alumni,89.08,50.0
307,LINKEDIN IRELAND UNLIMITED COMPANY,LinkedIn,89.08,48.48
307,LINKEDIN IRELAND UNLIMITED COMPANY,LinkedIn Ireland Unlimited Company,73.4,100.0
31,"AMAZON WEB SERVICES EMEA SARL, NORWEGIAN BRANCH",Amazon Web Services EMEA,95.56,69.57
31,"AMAZON WEB SERVICES EMEA SARL, NORWEGIAN BRANCH",Banh Mi XO,330.55,14.55
31,"AMAZON WEB SERVICES EMEA SARL, NORWEGIAN BRANCH",Covetrus,68.22,7.84
31,"AMAZON WEB SERVICES EMEA SARL, NORWEGIAN BRANCH",Norwegian Seafood Supply,330.55,31.88
31,"AMAZON WEB SERVICES EMEA SARL, NORWEGIAN BRANCH",Amazon E Store,330.55,44.07
318,MARSH & MCLENNAN AGENCIES AS,Malermestrene Juuhl & Bratfoss,330.55,39.29
318,MARSH & MCLENNAN AGENCIES AS,Larsen Consult,330.55,36.84
318,MARSH & MCLENNAN AGENCIES AS,Pure Agency,330.55,34.29
318,MARSH & MCLENNAN AGENCIES AS,Marsh Norway,330.55,42.11
318,MARSH & MCLENNAN AGENCIES AS,Gulbrandsen Agencies,330.55,50.0
32,AMDOCS DEVELOPMENT LIMITED,Amdocs,110.86,50.0
32,AMDOCS DEVELOPMENT LIMITED,Amdocs,110.86,50.0
32,AMDOCS DEVELOPMENT LIMITED,Amdocs,81.82,50.0
32,AMDOCS DEVELOPMENT LIMITED,Amdocs Offices,103.43,50.0
32,AMDOCS DEVELOPMENT LIMITED,Amdocs,69.81,50.0
33,"American Express Europe Denmark, filial af American Express Europe S.A., Spanien",HONDA,169.93,2.44
33,"American Express Europe Denmark, filial af American Express Europe S.A., Spanien",American Express Corp.,70.17,37.89
33,"American Express Europe Denmark, filial af American Express Europe S.A., Spanien",Aisin Europe,79.29,22.47
33,"American Express Europe Denmark, filial af American Express Europe S.A., Spanien",Joompay,65.07,7.14
33,"American Express Europe Denmark, filial af American Express Europe S.A., Spanien",American Steakhouse,150.88,22.92
339,NAGARRO AS,Nagarro AG,60.36,76.92
339,NAGARRO AS,Nagarro ES,72.64,87.5
339,NAGARRO AS,Nagarro,95.56,76.92
339,NAGARRO AS,Nagarro,60.36,76.92
339,NAGARRO AS,Nagarro GmbH,60.36,76.92
340,NAGARRO ENTERPRISE SERVICES PRIVATE LIMITED,Nagarro Hiring Team,199.94,40.0
340,NAGARRO ENTERPRISE SERVICES PRIVATE LIMITED,Enterprise Information Services LLC EIS,94.57,58.33
340,NAGARRO ENTERPRISE SERVICES PRIVATE LIMITED,BODY PLUS,119.04,14.29
340,NAGARRO ENTERPRISE SERVICES PRIVATE LIMITED,Technowell,144.23,13.95
340,NAGARRO ENTERPRISE SERVICES PRIVATE LIMITED,Nagarro ES,45.12,39.02
341,NEC CORPORATION,NEC Corporation NEC Gunma Branch,129.16,25.0
341,NEC CORPORATION,NEC Corporation NEC Kofu Branch,129.29,26.09
341,NEC CORPORATION,NEC Platforms Corporation East Japan Branch,122.58,17.14
341,NEC CORPORATION,NEC Corporation of Malaysia,329.09,31.58
341,NEC CORPORATION,NEC Corporation mae,133.58,54.55
35,ANALYSYS MASON AS,ANALYSYS,54.22,64.0
35,ANALYSYS MASON AS,Analysys Mason,83.33,90.32
35,ANALYSYS MASON AS,Analysys Mason,50.58,90.32
35,ANALYSYS MASON AS,AnalySys,100.43,64.0
35,ANALYSYS MASON AS,Analysys Technology,53.31,55.56
350,NETS DANMARK A/S,NemID,143.31,28.57
350,NETS DANMARK A/S,Nets group,318.95,46.15
350,NETS DANMARK A/S,DRIIVER,318.95,17.39
350,NETS DANMARK A/S,EDC Ejendoms Centret,152.23,16.67
350,NETS DANMARK A/S,NETS EASY MODULES,143.31,42.42
352,NEWS PUBLICATIONS (PRIVATE) LIMITED,EmerioSoft,231.56,27.03
352,NEWS PUBLICATIONS (PRIVATE) LIMITED,Turup Sangroula,87.08,20.0
352,NEWS PUBLICATIONS (PRIVATE) LIMITED,Educating Youth,164.5,38.1
352,NEWS PUBLICATIONS (PRIVATE) LIMITED,OK! Pakistan,239.65,25.64
352,NEWS PUBLICATIONS (PRIVATE) LIMITED,Private Helipad Ali Villa,334.18,26.92
354,NOITSO A/S,Forenede Gruppeliv,316.81,14.29
354,NOITSO A/S,Københavns Kommunes hjemmepleje,316.81,19.51
354,NOITSO A/S,Lægehuset Krumtappen,316.81,6.67
354,NOITSO A/S,Experian,316.81,11.11
354,NOITSO A/S,Gaardmand & Elsøe,316.81,14.81
359,"NORDEA BANK ABP, FILIAL I NORGE",Nordea,330.55,32.43
359,"NORDEA BANK ABP, FILIAL I NORGE",Nordeastiftelsen,178.55,29.79
359,"NORDEA BANK ABP, FILIAL I NORGE",Nordea Bank,330.55,52.38
359,"NORDEA BANK ABP, FILIAL I NORGE",Nordea Asset Management,66.93,38.46
359,"NORDEA BANK ABP, FILIAL I NORGE",Nordea Asset Management,83.33,38.46
